MANDT,BNAME,PROFILE
210,BIRCHDE,T-AD813030
210,BIRCHDE,T-AD813031
210,BIRKETJD,T-AD811597
210,BIRKETJD,T-AD8115971
210,BIRKETJD,T-AD8115972
210,BIRKETJD,T-AD811820
210,BIRKETJD,T-AD812905
210,BIRKETJD,T-AD812911
210,BIRKETJD,T-AD812912
210,BIRKETJD,T-AD812976
210,BIRKETJD,T-AD813072
210,BIRKETJD,T-AD813103
210,BIRKETJD,T-AD813119
210,BIRKETJD,T-AD813149
210,BIRKETJD,T-AD813154
210,BIRKETJD,T-AD813164
210,BIRKETJD,T-AD813174
210,BIRKETJD,T-AD813179
210,BIRKHETI,T-AD811588
210,BIRKHETI,T-AD811593
210,BIRKHETI,T-AD8115931
210,BIRKHETI,T-AD8115932
210,BIRKHETI,T-AD812911
210,BIRKHETI,T-AD812972
210,BIRKHETI,T-AD813002
210,BIRKHETI,T-AD813069
210,BIRKHETI,T-AD813151
210,BIRKHETI,T-AD813176
210,BIRRELGR,T-AD811598
210,BIRRELGR,T-AD8115981
210,BIRRELGR,T-AD8115982
210,BIRRELGR,T-AD811826
210,BIRRELGR,T-AD812887
210,BIRRELGR,T-AD812904
210,BIRRELGR,T-AD812905
210,BIRRELGR,T-AD812911
210,BIRRELGR,T-AD812912
210,BIRRELGR,T-AD812974
210,BIRRELGR,T-AD813070
210,BIRRELGR,T-AD813081
210,BIRRELGR,T-AD813091
210,BIRRELGR,T-AD813101
210,BIRRELGR,T-AD813106
210,BIRRELGR,T-AD813112
210,BIRRELGR,T-AD813117
210,BIRRELGR,T-AD813122
210,BIRRELGR,T-AD813132
210,BIRRELGR,T-AD813137
210,BIRRELGR,T-AD813147
210,BIRRELGR,T-AD813152
210,BIRRELGR,T-AD813157
210,BIRRELGR,T-AD813162
210,BIRRELGR,T-AD813167
210,BIRRELGR,T-AD813172
210,BIRRELGR,T-AD813177
210,BIRRELGR,T-AD813187
210,BIRRELGR,T-AD813220
210,BIRRELGR,T-AD813221
210,BIRRELGR,T-AD813222
210,BIRRELGR,T-AD813226
210,BIRRELGR,T-AD813273
210,BLACKBIA,T-AD811588
210,BLACKBIA,T-AD811593
