MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
210,SAP_CO_PC_PEREND_SALESORD_WLM,1,T_AR700199,,X,
210,SAP_CO_PC_PLAN_AUTH_EXPL_FACI,1,T_P0920928,,X,
210,SAP_CO_PC_PLAN_COCOLLECTOR,1,T_AR700190,,X,
210,SAP_CO_PC_PLAN_COOBJID,1,T_AR700191,,X,
210,SAP_CO_PC_PLAN_MAT_PRICEDETERM,1,T_P0920927,,X,
210,SAP_CO_PC_PLAN_SALESORDER_BOM,1,T_P0920232,,X,
210,SAP_CO_PC_REPORT_COCOLLECTOR,1,T_AR700212,,X,
210,SAP_CO_PC_REPORT_COOBJHIER,1,T_AR700211,,X,
210,SAP_CO_PC_REPORT_COOBJID,1,T_AR700210,,X,
210,SAP_CO_PC_REPORT_MANUFORDER,1,T_AR700213,,X,
210,SAP_CO_PC_REPORT_MATERIAL_ESTI,1,T_AR700208,,X,
210,SAP_CO_PC_REPORT_MATERIAL_LEDG,1,T_P0920029,,X,
210,SAP_CO_PC_REPORT_PRODUCTDRILL,1,T_AR700216,,X,
210,SAP_CO_PC_REPORT_PROD_CAMPAIGN,1,T_AR700214,,X,
210,SAP_CO_PC_REPORT_REFERENCE_SIM,1,T_AR700207,,X,
210,SAP_CO_PC_REPORT_SALESORDER,1,T_AR700215,,X,
210,SAP_CO_PC_REPORT_SUMMARIZATION,1,T_AR700217,,X,
210,SAP_CO_PC_REPORT_TOOLS,1,T_AR700218,,X,
210,SAP_CO_PEREND_CLOSING_PERIOD,1,T_AR700158,,X,
210,SAP_CO_PEREND_DISPLAY,1,T_AR700155,,X,
210,SAP_CO_PEREND_MAINTAIN,1,T_AR700154,,X,
210,SAP_CO_RECONCILIATION_LEDGER,1,T_P0920902,,X,
210,SAP_CO_SET_CONTROLLING_AREA,1,T_AR700150,,X,
210,SAP_CS_AG_CUST_ORDER_COMPLETE,1,T_P0920623,,X,
